id_version, NC, mWMC, mcBC
b5beca0bc08a4c87d47dc0eb37a952c3286415ac,9,852,0.35715451888888894
52fe39ce90ff58d5f040a7c28f45e645e5be1264,9,852,0.35715451888888894
2d4797e443da3f97da4d4574dd2e8cb1558414e7,9,852,0.35715451888888894
db32e0980b0c177e117edbf496401eaa18126f3f,9,852,0.35715451888888894
679aadf21eb36432e2273f9e223dc463e333440b,9,805,0.20642935555555558
74488a3a6b94fc7482934b662cb734e9043bc90c,9,805,0.20642935555555558
b106051ad45f5025d6cba2577eee2566bf675ea5,9,805,0.20642935555555558
91dcde9a1de0fe73caa73c0d271d3c776502844f,9,755,0.20664348222222223
a1b6bd07080fa522fdda8da8df96af41887532e8,9,750,0.20681862666666667
ff308dd7336317e74ff2b04eb841b525604e17d1,9,750,0.20681862666666667
53578d1d88923420d535dfc8ef8ae5090fd3442f,9,749,0.20693018333333335
1585568af5e868e94e8245c67a7aa73b688cf3e8,9,731,0.20747722999999998
9a53d86463c4a86ac00984f65c6588e9a1cc9433,9,675,0.1854374428888889
792291b455c785477d85b6c668a310e85bc16df3,9,439,0.19426281733333337
7d95723493ca0791ded5c318afc42b67748309f3,9,439,0.18983591400000002
06eb77db8a3e35721cf27764cf33731d218a92cc,9,337,0.18481599555555558
59b40adc8375fddaadb38db4ffc8deec27fbaa11,6,417,0.2149620866666667
4bceb5e16fcba2fe23146a963c7978e0de77162b,6,417,0.2149620866666667
095032734769ef25551f1da12fba46713b0b2e91,5,431,0.17795450399999999
6e5ce10f1357e63be022a9acffe9798e0bbd4bf9,5,376,0.126027354
9e1505cb9dd5486bdd457b0a3c6abf17383f3d1a,5,376,0.126027354
ff329df0a5d470daa46addaf53fb1a1f27d3f774,5,376,0.12895394
74b1214d7e2125450eec0f99a148f4677eeaf676,5,376,0.12895394
f5744f39624ea1d192b6153e6dcd5829fec67b98,5,315,0.119995607
530d81731365bbe8926f04d9327b0f5af31bc684,6,291,0.1203215425
46a40ff7227ad75bf54c3a1d7c64d787f50b9c64,6,222,0.10659139416666667
697bb1ec11b8e37024492d9172e25cd43fed69f6,6,114,0.09769385000000001
3387369f891fab543b6eaa2d1f25cfb7c378a049,6,52,0.0760582
0600832f455ba82fa164817f27ef456a6886ce6a,5,56,0.01904762
85b7fa2bf84a13ea29475775dcdd70edf236cbca,0,0,NaN
