chemin, class, classe_LOC, classe_CLOC, classe_DC 
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\renderer\AreaRendererEndType.java,AreaRendererEndType,58,52,0.8965517
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\renderer\category\AbstractCategoryItemRenderer.java,AbstractCategoryItemRenderer,1542,619,0.40142673
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\renderer\category\AreaRenderer.java,AreaRenderer,299,107,0.35785952
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\renderer\category\BarPainter.java,BarPainter,84,73,0.86904764
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\renderer\category\BarRenderer.java,BarRenderer,1200,529,0.44083333
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\renderer\category\BoxAndWhiskerRenderer.java,BoxAndWhiskerRenderer,1012,440,0.4347826
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\renderer\category\CategoryItemRenderer.java,CategoryItemRenderer,1439,1269,0.8818624
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\renderer\category\CategoryItemRendererState.java,CategoryItemRendererState,186,122,0.65591395
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\renderer\category\CategoryStepRenderer.java,CategoryStepRenderer,324,155,0.47839507
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\renderer\category\DefaultCategoryItemRenderer.java,DefaultCategoryItemRenderer,52,45,0.86538464
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\renderer\category\GanttRenderer.java,GanttRenderer,555,222,0.4
