chemin, class, classe_LOC, classe_CLOC, classe_DC 
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\data\ComparableObjectSeries.java,ComparableObjectSeries,426,223,0.52347416
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\data\DefaultKeyedValue.java,DefaultKeyedValue,149,94,0.6308725
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\data\DefaultKeyedValues.java,DefaultKeyedValues,413,211,0.5108959
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\data\DefaultKeyedValues2D.java,DefaultKeyedValues2D,507,254,0.5009862
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\data\flow\DefaultFlowDataset.java,DefaultFlowDataset,350,171,0.48857144
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\data\flow\FlowDatasetUtils.java,FlowDatasetUtils,194,105,0.5412371
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\data\flow\FlowKey.java,FlowKey,156,93,0.59615386
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\data\flow\NodeKey.java,NodeKey,140,86,0.6142857
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\data\function\LineFunction2D.java,LineFunction2D,121,80,0.661157
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\data\function\NormalDistributionFunction2D.java,NormalDistributionFunction2D,129,82,0.6356589
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\data\function\PolynomialFunction2D.java,PolynomialFunction2D,117,80,0.6837607
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\data\function\PowerFunction2D.java,PowerFunction2D,121,80,0.661157
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\data\gantt\SlidingGanttCategoryDataset.java,SlidingGanttCategoryDataset,617,335,0.54294974
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\data\gantt\Task.java,Task,229,135,0.5895197
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\data\gantt\TaskSeries.java,TaskSeries,184,106,0.57608694
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\data\gantt\TaskSeriesCollection.java,TaskSeriesCollection,633,320,0.5055292
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\data\gantt\XYTaskDataset.java,XYTaskDataset,445,245,0.5505618
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\data\general\DatasetChangeEvent.java,DatasetChangeEvent,80,69,0.8625
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\data\general\DefaultHeatMapDataset.java,DefaultHeatMapDataset,307,173,0.5635179
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\data\general\DefaultKeyedValueDataset.java,DefaultKeyedValueDataset,181,103,0.5690608
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\data\general\DefaultKeyedValues2DDataset.java,DefaultKeyedValues2DDataset,57,49,0.8596491
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\data\general\DefaultKeyedValuesDataset.java,DefaultKeyedValuesDataset,46,41,0.8913044
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\data\general\DefaultPieDataset.java,DefaultPieDataset,323,196,0.60681117
